date,tollbooth,license_plate,cornsilk,slate_gray,navajo_white
2020.01.01,1,"AS-PG-9",1,7,6
2020.01.01,1,"SR-GU-712",1,5,1
2020.01.01,1,"S-V-2475",0,4,3
2020.01.01,3,"V-D-852",1,9,3
2020.01.01,1,"ERZ-DZ-2336",0,0,2
2020.01.01,1,"MM-XG-2",1,4,0
2020.01.01,2,"MKK-Z-151",0,0,2
2020.01.01,1,"TR-KG-5442",0,1,5
2020.01.01,2,"WAK-IT-6",3,1,2
2020.01.01,3,"BT-HF-31",0,2,1
2020.01.01,3,"MTK-YV-854",1,6,2
2020.01.01,2,"WF-BF-166",0,3,3
2020.01.01,3,"MR-L-85",5,3,0
2020.01.01,1,"AW-T-573",1,1,3
2020.01.01,1,"VS-N-463",2,2,7
2020.01.01,2,"EA-CK-47",1,3,3
2020.01.01,3,"EA-CK-47",3,1,3
2020.01.01,3,"SO-ND-149",1,4,2
2020.01.01,3,"SLK-WA-97",4,1,1
2020.01.01,1,"WB-XG-76",0,7,3
2020.01.01,2,"BI-YC-52",6,5,2
2020.01.01,1,"TIR-UI-954",0,2,4
2020.01.01,3,"HRO-T-727",3,2,1
2020.01.01,3,"SU-I-395",5,2,2
2020.01.01,3,"FD-QX-71",2,4,2
2020.01.01,1,"HR-P-42",1,2,4
2020.01.01,1,"WUG-RO-4",0,2,7
2020.01.01,3,"KUS-IE-12",1,6,3
2020.01.01,3,"G-W-9626",2,9,4
2020.01.01,3,"VEC-X-59",6,0,1
2020.01.01,3,"H-MH-183",1,2,2
2020.01.01,2,"BWL-T-131",0,6,0
2020.01.01,3,"K-P-279",0,6,4
2020.01.01,2,"RE-HF-341",2,0,2
2020.01.01,2,"GR-S-678",4,4,1
2020.01.01,2,"OA-CM-78",5,4,1
2020.01.01,2,"BWL-K-815",3,5,4
2020.01.01,2,"S-E-6",2,2,1
2020.01.01,2,"GAP-MQ-6",3,3,1
2020.01.01,3,"MG-VR-5",3,1,4
2020.01.01,1,"REG-N-59",0,2,1
2020.01.01,3,"SAD-J-174",0,3,3
2020.01.01,1,"RO-EC-6",2,3,2
2020.01.01,2,"FDS-QV-72",0,0,1
2020.01.01,1,"VEC-X-59",0,3,0
2020.01.01,1,"SZ-DC-721",2,3,5
2020.01.01,1,"RÜD-TF-5487",9,0,5
2020.01.01,1,"WF-W-6",2,8,5
2020.01.01,3,"ES-E-14",0,3,1
2020.01.01,3,"WUG-XR-597",1,0,5
2020.01.01,1,"HX-A-86",3,3,3
2020.01.01,3,"MST-O-695",2,8,0
2020.01.01,3,"GM-K-7",1,2,0
2020.01.01,1,"SB-H-6",1,0,1
2020.01.01,2,"WOB-BU-1256",5,2,1
2020.01.01,1,"MM-BT-443",1,0,5
2020.01.01,2,"GTH-J-386",3,1,1
2020.01.01,3,"TÜ-YR-2557",3,4,3
2020.01.01,3,"G-W-59",0,0,6
2020.01.01,3,"EBE-B-57",4,0,3
2020.01.01,2,"OA-J-12",7,3,1
2020.01.01,3,"CB-UE-13",1,3,7
2020.01.01,3,"AK-Q-9",0,1,5
2020.01.01,3,"ROS-R-42",0,2,3
2020.01.01,1,"SW-D-15",1,0,4
2020.01.01,1,"AC-E-881",5,6,1
2020.01.01,1,"KE-UP-71",5,6,0
2020.01.01,1,"WTM-B-6",4,0,1
2020.01.01,3,"PAF-N-97",3,0,1
2020.01.01,3,"FL-S-62",1,9,4
2020.01.01,3,"OE-G-499",2,5,1
2020.01.01,1,"WE-H-269",1,4,1
2020.01.01,1,"KF-G-9",0,0,0
2020.01.01,2,"EE-AM-913",3,0,1
2020.01.01,3,"MIL-Y-63",1,0,1
2020.01.01,1,"MS-M-54",4,1,4
2020.01.01,2,"RD-Z-98",6,0,0
2020.01.01,2,"MST-O-695",2,8,0
2020.01.01,1,"LL-MA-441",0,0,2
2020.01.01,1,"GE-CZ-374",0,5,4
2020.01.01,1,"NK-F-548",5,3,4
2020.01.01,3,"RT-OC-157",4,4,2
2020.01.01,1,"IZ-NY-652",3,2,0
2020.01.01,2,"WES-PY-211",4,3,3
2020.01.01,3,"UN-V-24",0,2,0
2020.01.01,2,"V-D-852",5,7,3
2020.01.01,1,"THW-WP-65",6,3,0
2020.01.01,1,"GZ-I-4591",0,0,0
2020.01.01,2,"VK-ZT-15",3,3,1
2020.01.01,3,"LER-AF-151",0,1,1
2020.01.01,1,"ROS-TE-56",6,3,3
2020.01.01,3,"SLS-U-95",4,1,3
2020.01.01,2,"OHA-P-354",6,4,3
2020.01.01,1,"PAN-V-5988",1,0,1
2020.01.01,2,"IN-L-763",4,2,1
2020.01.01,3,"KF-NG-13",3,4,1
2020.01.01,1,"SPN-KF-8545",3,2,8
2020.01.01,3,"MTK-YV-854",2,3,0
2020.01.01,1,"EA-K-3",0,0,7
2020.01.01,1,"RV-B-431",6,0,1
2020.01.01,1,"KG-EV-1",0,0,0
2020.01.01,1,"OS-D-832",1,4,0
2020.01.01,2,"IZ-M-331",3,4,4
2020.01.02,1,"CW-BE-877",2,6,0
2020.01.02,1,"GÜ-HR-5253",5,1,2
2020.01.02,3,"BD-N-39",1,1,0
2020.01.02,2,"TIR-LN-5",0,7,1
2020.01.02,1,"MÜR-H-8",7,2,0
2020.01.02,3,"OAL-V-81",7,9,0
2020.01.02,1,"FR-X-57",5,1,2
2020.01.02,1,"SLF-T-9697",0,5,5
2020.01.02,1,"RV-K-225",2,2,0
2020.01.02,3,"SE-FT-67",1,5,0
2020.01.02,3,"BZ-J-5472",1,1,1
2020.01.02,1,"DD-M-2367",0,0,0
2020.01.02,2,"DD-T-4",3,1,7
2020.01.02,2,"PAF-N-97",4,2,3
2020.01.02,2,"KG-IF-93",6,0,7
2020.01.02,1,"SI-A-923",0,2,7
2020.01.02,1,"SLF-G-6848",0,7,1
2020.01.02,1,"WUG-XR-597",1,3,2
2020.01.02,1,"LÖ-ZH-657",6,1,2
2020.01.02,1,"ME-TS-1281",4,0,7
2020.01.02,1,"KI-XS-3535",0,3,2
2020.01.02,1,"WUG-RO-4",2,5,3
2020.01.02,2,"RO-Q-363",6,1,0
2020.01.02,2,"OA-YW-78",0,3,1
2020.01.02,1,"HR-Q-1412",0,0,1
2020.01.02,3,"SLK-O-32",4,1,8
2020.01.02,1,"SL-AQ-29",0,3,1
2020.01.02,1,"KI-H-31",2,1,1
2020.01.02,1,"PAF-C-7",1,8,3
2020.01.02,3,"TÖL-B-76",3,3,1
2020.01.02,3,"RV-C-94",0,1,2
2020.01.02,1,"CHA-I-62",0,4,1
2020.01.02,3,"Y-YJ-83",2,0,4
2020.01.02,2,"NW-PJ-297",0,1,0
2020.01.02,1,"BTF-BY-689",3,3,0
2020.01.02,2,"HSK-V-3",4,2,2
2020.01.02,3,"EB-EI-1",4,1,0
2020.01.02,1,"AW-PX-62",2,1,0
2020.01.02,2,"KO-NH-841",2,7,0
2020.01.02,1,"MOL-HA-69",0,3,2
2020.01.02,3,"SO-XK-811",4,1,3
2020.01.02,3,"DBR-WA-16",1,2,0
2020.01.02,3,"LIF-DV-2",0,1,3
2020.01.02,2,"LU-W-912",0,2,0
2020.01.02,1,"GZ-I-4591",0,1,0
2020.01.02,3,"VS-N-463",2,2,5
2020.01.02,1,"DAU-W-62",2,7,2
2020.01.02,1,"HI-LK-5831",4,7,0
2020.01.02,1,"NMS-RL-52",3,6,1
2020.01.02,2,"HBN-NT-57",0,0,1
2020.01.02,3,"BO-PT-722",0,1,5
2020.01.02,1,"AÖ-FO-75",6,0,0
2020.01.02,1,"AA-Y-71",0,6,2
2020.01.02,3,"FR-N-87",2,3,1
2020.01.02,2,"OS-D-832",2,2,3
2020.01.02,1,"ZW-F-6",6,0,2
2020.01.02,3,"PLÖ-OJ-4",3,5,0
2020.01.02,1,"MSH-E-38",2,1,6
2020.01.02,3,"GP-X-91",0,1,3
2020.01.02,1,"MEI-S-547",1,5,2
2020.01.02,1,"COE-BW-89",4,1,3
2020.01.02,1,"L-AA-648",1,4,5
2020.01.02,1,"VK-DL-57",1,4,1
2020.01.02,1,"SHK-PN-16",8,4,5
2020.01.02,2,"SIG-R-3871",6,1,3
2020.01.02,1,"LRO-XI-699",7,0,2
2020.01.02,1,"BWL-T-131",0,0,5
2020.01.02,2,"UM-NM-412",0,8,3
2020.01.02,1,"IN-L-763",1,0,0
2020.01.02,3,"WOB-BU-1256",5,2,1
2020.01.02,2,"KT-H-992",0,4,2
2020.01.02,1,"MYK-M-28",7,2,2
2020.01.02,1,"WHV-T-22",5,8,5
2020.01.02,2,"PS-YX-11",1,3,1
2020.01.02,1,"TS-A-25",5,2,3
2020.01.02,3,"GE-CZ-374",3,1,2
2020.01.02,3,"HOL-A-92",5,2,2
2020.01.02,1,"SHA-TG-92",1,2,7
2020.01.02,3,"G-W-9626",1,2,2
2020.01.02,1,"IN-B-594",1,6,0
2020.01.02,3,"KA-VA-761",2,2,3
2020.01.02,3,"OA-CM-78",2,0,0
2020.01.02,3,"RV-C-94",0,1,3
2020.01.02,2,"MVL-U-16",5,5,5
2020.01.02,3,"HX-QM-21",2,6,0
2020.01.02,3,"WF-BF-166",0,0,4
2020.01.02,1,"MM-RL-4",1,5,4
2020.01.02,3,"BWL-MV-2",0,1,1
2020.01.02,2,"F-H-888",1,6,0
2020.01.02,3,"H-S-495",3,4,0
2020.01.02,1,"SAW-H-67",3,2,0
2020.01.02,1,"FR-X-57",3,2,2
2020.01.02,3,"EBE-DX-63",6,1,0
2020.01.02,3,"OF-OY-5221",0,1,1
2020.01.02,3,"WUN-RE-488",4,1,4
2020.01.02,3,"WIL-N-945",6,0,3
2020.01.02,2,"F-H-888",2,6,4
2020.01.02,1,"DAU-RO-8584",4,4,8
2020.01.02,1,"GE-GA-18",0,3,0
2020.01.02,2,"HX-N-7",1,5,1
2020.01.02,3,"S-K-1752",5,1,0
2020.01.02,2,"PAF-U-154",1,4,2
2020.01.02,3,"AZ-YL-26",6,0,2
2020.01.02,1,"THL-Q-628",3,1,2
2020.01.02,1,"LSN-H-11",3,3,1
2020.01.02,3,"GG-N-97",1,3,0
2020.01.02,1,"BT-O-952",6,0,6
2020.01.02,2,"HSK-V-3",1,3,4
2020.01.02,2,"NVP-P-13",5,1,0
2020.01.02,2,"AK-Q-9",2,0,4
2020.01.02,1,"EIC-O-898",1,2,0
2020.01.02,2,"KUS-IE-12",0,1,2
2020.01.02,1,"DN-KF-952",1,4,1
2020.01.02,2,"GS-H-63",2,3,0
2020.01.02,2,"PR-X-76",2,4,0
2020.01.02,3,"WES-PY-211",4,3,0
2020.01.02,3,"EA-K-3",1,1,2
2020.01.02,3,"FF-D-62",1,6,5
2020.01.02,3,"HP-U-143",6,0,2
2020.01.02,3,"IN-JW-26",3,1,2
2020.01.02,1,"HWI-RQ-618",1,3,0
2020.01.03,1,"DAU-W-62",4,0,3
2020.01.03,3,"RS-K-423",3,2,2
2020.01.03,1,"HOM-BA-245",0,7,0
2020.01.03,1,"KU-B-49",4,1,0
2020.01.03,3,"SO-ND-149",0,0,6
2020.01.03,1,"LDK-P-4571",0,2,3
2020.01.03,1,"SW-RM-63",4,1,0
2020.01.03,3,"STD-DW-8",5,0,2
2020.01.03,3,"GT-H-11",0,4,2
2020.01.03,1,"THW-PO-782",0,7,7
2020.01.03,3,"NMS-D-76",3,0,5
2020.01.03,3,"MG-VR-5",0,3,3
2020.01.03,1,"WND-A-492",5,0,1
2020.01.03,1,"WUG-RO-4",4,5,2
2020.01.03,2,"EM-RY-41",3,3,7
2020.01.03,1,"NMS-BN-552",1,2,3
2020.01.03,2,"KB-V-64",3,0,2
2020.01.03,1,"LD-OL-9852",6,5,2
2020.01.03,3,"ES-RW-45",2,2,0
2020.01.03,2,"KÜN-RF-364",3,5,1
2020.01.03,2,"OA-AL-89",6,1,6
2020.01.03,3,"WE-H-269",6,0,3
2020.01.03,2,"SHA-TG-92",4,6,4
2020.01.03,1,"WEN-QX-4595",1,1,3
2020.01.03,3,"LWL-YE-8611",5,3,3
2020.01.03,1,"LIF-K-87",6,5,0
2020.01.03,3,"LOS-L-92",3,2,2
2020.01.03,3,"DH-G-8",2,4,4
2020.01.03,1,"HER-WJ-231",2,5,0
2020.01.03,1,"TS-L-37",1,8,0
2020.01.03,3,"KE-XV-79",2,0,9
2020.01.03,2,"MD-FU-28",6,0,0
2020.01.03,1,"PE-AP-95",0,3,8
2020.01.03,1,"WL-SC-855",0,0,1
2020.01.03,2,"BTF-BY-689",3,1,0
2020.01.03,1,"LER-AF-151",3,1,6
2020.01.03,3,"HH-T-324",1,1,2
2020.01.03,1,"THL-Q-83",2,0,1
2020.01.03,2,"HBN-NT-57",7,5,1
2020.01.03,3,"LI-GA-92",1,4,4
2020.01.03,3,"NVP-P-13",3,3,7
2020.01.03,1,"WUN-T-63",3,7,3
2020.01.03,2,"BGL-T-48",1,3,0
2020.01.03,3,"LSN-H-11",3,0,0
2020.01.03,1,"BC-VO-9",4,1,1
2020.01.03,1,"WTM-B-6",2,0,0
2020.01.03,3,"R-H-92",2,1,5
2020.01.03,1,"OH-Q-6",3,5,2
2020.01.03,3,"GS-H-63",1,1,3
2020.01.03,3,"DAH-D-36",1,0,0
2020.01.03,2,"GER-X-49",2,3,1
2020.01.03,1,"EB-A-675",4,3,4
2020.01.03,2,"VS-WI-4321",0,2,2
2020.01.03,1,"PR-D-9183",2,4,1
2020.01.03,1,"TÖL-T-92",2,5,1
2020.01.03,3,"BGL-T-48",0,4,2
2020.01.03,2,"MD-FU-28",1,8,3
2020.01.03,1,"HRO-VJ-86",0,2,1
2020.01.03,2,"GP-K-557",1,1,2
2020.01.03,1,"VEC-X-59",4,1,0
2020.01.03,1,"LD-D-957",5,3,1
2020.01.03,3,"KN-F-71",2,3,1
2020.01.03,2,"GRZ-X-942",0,2,0
2020.01.03,2,"SHA-TG-92",2,3,2
2020.01.03,2,"HB-XY-7244",3,1,3
2020.01.03,2,"OHA-P-354",0,0,5
2020.01.03,2,"KU-W-266",1,0,3
2020.01.03,1,"MA-H-94",0,2,3
2020.01.03,2,"DEL-DU-639",0,4,2
2020.01.03,2,"WF-Q-32",7,3,0
2020.01.03,2,"RV-K-225",3,1,2
2020.01.03,1,"RO-YT-78",9,1,1
2020.01.03,3,"SK-JL-4",1,1,0
2020.01.03,1,"BZ-J-5472",1,1,5
2020.01.03,1,"SM-RI-94",1,2,0
2020.01.03,3,"HAM-D-6",1,2,0
2020.01.03,3,"MS-CA-44",1,3,6
2020.01.03,2,"PLÖ-OJ-4",8,3,5
2020.01.03,1,"ME-UK-74",5,1,2
2020.01.03,1,"SIG-R-3871",3,7,2
2020.01.03,3,"LOS-JO-45",1,0,1
2020.01.03,2,"HRO-T-727",1,2,4
2020.01.03,3,"AB-R-87",6,6,3
2020.01.03,1,"AN-I-484",2,0,4
2020.01.03,3,"NU-N-3",2,0,3
2020.01.03,1,"KG-EV-1",5,3,7
2020.01.03,2,"WF-O-94",0,0,7
2020.01.03,2,"ES-OK-965",1,3,0
2020.01.03,2,"PE-AP-95",0,2,6
2020.01.03,1,"KN-E-737",6,2,4
2020.01.03,1,"MEI-RW-5",5,1,1
2020.01.03,2,"HDH-ZE-418",7,0,3
2020.01.03,1,"HH-Z-6442",6,0,1
2020.01.03,1,"SI-S-1571",2,2,4
2020.01.03,1,"MN-W-7",1,0,1
2020.01.03,2,"LIF-DV-2",1,1,3
2020.01.03,3,"IZ-M-331",1,6,1
2020.01.03,1,"WOB-DY-997",5,4,3
2020.01.03,1,"TDO-ZD-529",0,3,2
2020.01.03,1,"LA-I-541",4,2,0
2020.01.03,1,"GTH-X-3",2,0,2
2020.01.03,2,"R-H-92",3,5,5
2020.01.03,1,"LD-OL-9852",2,2,6
2020.01.03,2,"MM-HJ-55",5,0,1
2020.01.03,2,"DAU-W-62",4,1,0
2020.01.03,3,"WOB-BU-1256",0,0,6
2020.01.03,1,"WN-BB-5918",4,0,4
2020.01.03,2,"SH-B-986",0,1,1
2020.01.03,2,"SPN-EF-219",3,4,1
2020.01.03,2,"HEF-J-696",4,4,0
2020.01.03,3,"WÜ-G-25",2,3,6
2020.01.03,2,"VIE-D-955",3,1,4
2020.01.03,1,"HH-R-524",6,5,2
2020.01.03,3,"MÜR-EO-555",0,0,0
2020.01.03,1,"UN-V-24",3,1,0
2020.01.03,1,"G-W-9626",5,3,1
2020.01.03,3,"NM-UR-24",4,1,2
2020.01.03,1,"WHV-T-22",1,6,0
2020.01.03,1,"SAD-TZ-61",1,3,2
2020.01.03,3,"WTM-NF-794",0,1,1
2020.01.03,1,"DU-C-161",1,7,3
2020.01.03,3,"VK-DL-57",5,0,4
2020.01.03,2,"MB-L-971",1,2,1
2020.01.03,1,"NMS-D-76",0,1,3
2020.01.03,2,"OHA-C-92",1,3,0
2020.01.03,1,"DU-U-83",2,1,2
2020.01.03,2,"KB-V-64",1,6,7
2020.01.03,1,"DL-FP-543",1,6,6
2020.01.03,3,"BT-O-952",2,5,0
2020.01.04,3,"CE-X-322",4,3,4
2020.01.04,2,"WW-WN-2",3,3,0
2020.01.04,2,"DLG-AY-5813",0,5,0
2020.01.04,3,"MN-I-289",0,0,1
2020.01.04,1,"WW-WN-2",2,5,0
2020.01.04,1,"SP-DC-23",0,3,1
2020.01.04,3,"MN-I-289",1,1,0
2020.01.04,1,"MOS-NU-56",1,7,1
2020.01.04,2,"UL-F-181",4,4,0
2020.01.04,2,"PCH-U-396",1,0,2
2020.01.04,1,"MM-BT-443",3,4,3
2020.01.04,2,"NVP-P-13",1,0,6
2020.01.04,3,"HRO-VJ-86",0,0,0
2020.01.04,1,"TDO-O-72",6,3,3
2020.01.04,1,"WN-G-454",0,0,2
2020.01.04,1,"GT-H-11",9,0,4
2020.01.04,2,"KI-QM-188",0,3,4
2020.01.04,3,"RO-EC-6",2,2,1
2020.01.04,2,"OH-UK-118",5,3,6
2020.01.04,3,"LOS-PO-8114",1,5,3
2020.01.04,2,"GTH-J-386",1,1,5
2020.01.04,3,"LL-MA-441",3,1,0
2020.01.04,3,"GRZ-DG-313",0,4,3
2020.01.04,3,"SON-IK-8532",3,0,0
2020.01.04,2,"WE-GT-682",2,0,3
2020.01.04,2,"BL-GA-82",7,0,0
2020.01.04,1,"NF-QN-2112",2,7,2
2020.01.04,3,"LER-M-68",4,2,0
2020.01.04,1,"OE-P-645",4,0,1
2020.01.04,1,"LIF-DV-2",3,0,0
2020.01.04,3,"FFB-N-22",5,3,1
2020.01.04,3,"OD-H-2521",3,3,0
2020.01.04,3,"MZ-SC-1833",3,1,2
2020.01.04,1,"SLS-U-95",3,4,0
2020.01.04,2,"VK-ZT-15",4,5,1
2020.01.04,2,"RO-EC-6",0,1,8
2020.01.04,2,"IN-DW-113",1,6,1
2020.01.04,1,"DE-D-18",1,2,0
2020.01.04,2,"LOS-L-92",6,2,1
2020.01.04,3,"NVP-PG-374",1,0,4
2020.01.04,3,"HER-RR-275",5,5,0
2020.01.04,3,"GTH-X-3",2,1,0
2020.01.04,1,"TUT-W-33",2,1,1
2020.01.04,3,"BWL-H-12",1,8,4
2020.01.04,1,"PLÖ-OJ-4",5,6,6
2020.01.04,2,"ST-BR-62",3,1,3
2020.01.04,3,"HAM-D-6",0,0,8
2020.01.04,1,"NR-T-9115",6,0,6
2020.01.04,3,"ESW-VO-277",5,1,5
2020.01.04,1,"PAF-Y-6449",4,0,2
2020.01.04,3,"BO-PT-722",0,8,1
2020.01.04,1,"PS-YX-11",2,0,2
2020.01.04,2,"SIG-A-9",0,1,6
2020.01.04,2,"ESW-VO-277",0,1,0
2020.01.04,2,"TS-L-37",2,6,2
2020.01.04,3,"AP-PC-542",0,1,7
2020.01.04,1,"CHA-M-475",0,2,2
2020.01.04,1,"CHA-I-62",2,1,1
2020.01.04,1,"PAF-C-7",2,3,3
2020.01.04,1,"K-K-569",3,2,0
2020.01.04,3,"MB-L-971",2,0,2
2020.01.04,2,"UN-V-24",3,4,3
2020.01.04,3,"GTH-VJ-64",2,3,0
2020.01.04,3,"WL-SC-855",0,2,3
2020.01.04,2,"NOM-SZ-9",7,0,1
2020.01.04,3,"VEC-Z-116",1,3,0
2020.01.04,3,"VIE-D-955",1,3,4
2020.01.04,3,"VS-WI-4321",2,3,1
2020.01.04,2,"HOM-F-92",0,2,0
2020.01.04,3,"NE-U-69",0,3,6
2020.01.04,3,"PAF-Y-6449",3,1,0
2020.01.04,3,"S-E-6",0,1,0
2020.01.04,2,"MTK-YV-854",1,6,0
2020.01.04,3,"GRZ-DG-313",5,1,0
2020.01.04,1,"SR-GU-712",1,6,0
2020.01.04,3,"M-U-193",1,3,6
2020.01.04,2,"LOS-N-6",0,1,2
2020.01.04,2,"AUR-X-97",0,2,2
2020.01.04,3,"K-P-279",6,2,0
2020.01.04,1,"PIR-E-79",0,4,3
2020.01.04,3,"H-MH-183",3,0,3
2020.01.04,2,"DBR-J-771",6,3,0
2020.01.04,1,"EB-QV-351",2,2,0
2020.01.04,2,"NVP-PG-374",6,7,4
2020.01.05,3,"WT-Y-89",2,7,2
2020.01.05,1,"KR-MZ-52",4,5,6
2020.01.05,1,"PM-O-59",0,1,0
2020.01.05,1,"TIR-LN-5",7,1,6
2020.01.05,1,"HB-XY-7244",1,3,0
2020.01.05,3,"MM-HJ-55",0,0,4
2020.01.05,1,"MG-F-492",7,3,2
2020.01.05,3,"DON-L-549",2,5,1
2020.01.05,1,"BRB-SA-85",3,1,3
2020.01.05,3,"MS-UO-438",0,7,2
2020.01.05,1,"CW-SF-63",6,4,4
2020.01.05,1,"NWM-E-99",2,3,1
2020.01.05,1,"SM-Z-57",4,0,1
2020.01.05,3,"KE-ZP-55",7,4,1
2020.01.05,1,"NF-QN-2112",2,5,0
2020.01.05,2,"BT-O-952",3,0,1
2020.01.05,2,"GTH-VJ-64",0,1,1
2020.01.05,1,"PA-ZL-263",2,5,2
2020.01.05,2,"NOM-WG-8254",0,6,1
2020.01.05,3,"P-P-88",2,3,0
2020.01.05,1,"VER-LH-817",0,4,1
2020.01.05,2,"ST-UD-563",0,5,0
2020.01.05,1,"S-K-1752",4,2,1
2020.01.05,2,"LER-JZ-1955",5,0,3
2020.01.05,3,"KG-EV-1",7,6,1
2020.01.05,1,"LRO-F-564",5,3,1
2020.01.05,2,"LAU-KU-242",4,5,2
2020.01.05,3,"NI-D-174",3,0,7
2020.01.05,3,"FR-N-87",0,3,3
2020.01.05,1,"DL-CC-26",2,3,6
2020.01.05,2,"BT-HF-31",1,4,2
2020.01.05,2,"AW-T-573",5,6,0
2020.01.05,2,"MA-F-27",4,3,0
2020.01.05,2,"RO-Q-363",0,0,2
2020.01.05,2,"WEN-OB-7951",1,5,1
2020.01.05,2,"MK-A-39",6,0,1
2020.01.05,1,"WHV-U-981",1,2,1
2020.01.05,3,"ZW-F-6",1,2,6
2020.01.05,3,"HOM-F-92",3,3,1
2020.01.05,1,"BK-IE-98",2,3,1
2020.01.05,2,"COE-BW-89",9,5,1
2020.01.05,1,"FDS-VW-65",5,0,6
2020.01.05,1,"BAR-F-5",6,7,1
2020.01.05,2,"SM-K-177",1,0,4
2020.01.05,2,"KE-ZP-55",2,6,5
2020.01.05,2,"TG-KW-157",0,1,0
2020.01.05,1,"MTK-J-1",5,0,3
2020.01.05,2,"TDO-EE-7943",5,5,3
2020.01.05,2,"BC-VO-9",0,7,5
2020.01.05,1,"HR-K-93",4,3,1
2020.01.05,1,"SON-IK-8532",1,0,5
2020.01.05,2,"MTK-J-1",6,6,8
2020.01.05,3,"PIR-B-19",1,2,3
2020.01.05,1,"L-X-3527",1,4,4
2020.01.05,2,"MST-ZK-6",0,4,2
2020.01.05,1,"WUG-A-559",4,3,4
2020.01.05,2,"DBR-J-771",1,0,1
2020.01.05,2,"KYF-N-4",2,3,1
2020.01.05,2,"EBE-B-57",6,1,5
2020.01.05,1,"BYL-U-9",5,0,8
2020.01.05,2,"WÜ-Y-1339",0,6,4
2020.01.05,3,"AN-N-555",2,0,2
2020.01.05,3,"ER-V-631",2,2,4
2020.01.05,3,"CB-S-38",5,2,4
2020.01.05,2,"PCH-U-396",1,5,1
2020.01.05,2,"AE-I-81",1,3,1
2020.01.05,3,"AE-HA-68",4,4,1
2020.01.05,3,"MSH-E-38",1,3,1
2020.01.05,3,"BWL-MV-2",3,3,6
2020.01.05,1,"AK-PQ-89",9,0,3
2020.01.05,1,"HZ-L-6741",4,5,3
2020.01.05,3,"TUT-VV-65",1,3,2
2020.01.05,1,"TÖL-T-92",1,2,0
2020.01.05,3,"DE-D-18",3,4,2
2020.01.05,3,"AW-PX-62",0,7,1
2020.01.05,2,"EL-B-287",1,1,1
2020.01.05,2,"KU-W-266",2,3,0
2020.01.05,2,"MEI-RW-5",1,0,1
2020.01.05,2,"KI-QM-188",2,1,2
2020.01.05,2,"LÖ-H-4",2,0,3
2020.01.05,1,"PB-DR-126",2,6,0
2020.01.05,2,"CHA-I-62",0,6,2
2020.01.05,2,"EA-K-1629",2,6,2
2020.01.05,1,"DLG-AY-5813",1,1,4
2020.01.05,2,"TÜ-UK-11",3,1,3
2020.01.05,2,"OF-OY-5221",6,7,5
2020.01.05,2,"SR-GU-712",0,7,0
2020.01.05,2,"SPN-KF-8545",3,1,5
2020.01.05,2,"LL-MA-441",0,0,3
2020.01.05,2,"H-S-495",1,2,5
2020.01.05,1,"PA-CR-3",1,4,6
2020.01.05,2,"ABI-OB-294",4,2,7
2020.01.05,3,"NM-C-81",1,0,1
2020.01.05,3,"WT-JM-352",2,2,1
2020.01.05,1,"FFB-O-81",5,5,0
2020.01.05,1,"MS-M-54",0,2,3
2020.01.05,3,"AW-Y-938",4,2,0
2020.01.05,2,"WF-W-6",2,1,5
2020.01.05,2,"BI-A-677",2,1,2
2020.01.05,3,"FL-CP-22",1,1,4
2020.01.05,2,"FG-KL-158",5,1,0
