iata,name,city,state,country,lat,long,dst,tz,utc_offset
WBB,Stebbins,Stebbins,AK,USA,63.51591972,-162.2827394,,America/Nome,-8
0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,,America/Nome,-8
JZZ,Koliganek,Koliganek,AK,USA,59.72664194,-157.25947219999998,,America/Anchorage,-8
KEB,English Bay,English Bay,AK,USA,59.35214833,-151.92515580000003,,America/Anchorage,-8
Z40,Goose Bay,Goose Bay,AK,USA,61.39445139,-149.84555559999998,,America/Anchorage,-8
4Z4,Holy Cross,Holy Cross,AK,USA,62.18829583,-159.7749503,,America/Anchorage,-8
9A3,Chuathbaluk,Chuathbaluk,AK,USA,61.58317306,-159.23596669999998,,America/Anchorage,-8
51Z,Minto (New),Minto,AK,USA,65.14370889,-149.3699647,,America/Anchorage,-8
5TE,Tetlin,Tetlin,AK,USA,63.13382361,-142.52193390000002,,America/Anchorage,-8
MYK,May Creek,May Creek,AK,USA,61.33567417,-142.686775,,America/Anchorage,-8
68A,Wrangell SPB,Wrangell,AK,USA,56.466325,-132.38001809999997,,America/Sitka,-8
BGQ,Big Lake Strip Nr 2,Big Lake,AK,USA,61.53556806,-149.8138975,,America/Anchorage,-8
CHP,Circle Hot Springs,Circle Hot Springs,AK,USA,65.48547222,-144.6107836,,America/Anchorage,-8
PCK,Porcupine Creek,Porcupine Creek,AK,USA,67.23789833,-150.2860608,,America/Anchorage,-8
AQT,Nuiqsut,Nuiqsut,AK,USA,70.20995278,-151.0055611,,America/Anchorage,-8
UUO,Willow,Willow,AK,USA,61.75441667,-150.0516639,,America/Anchorage,-8
5NN,Nondalton,Nondalton,AK,USA,59.97904306,-154.8396944,,America/Anchorage,-8
63A,Lloyd R. Roundtree Seaplane Facility,Petersburg,AK,USA,56.81131972,-132.9600567,,America/Sitka,-8
AJC,Chignik (Anchorage Bay),Chignik,AK,USA,56.3114625,-158.3732369,,America/Anchorage,-8
CKX,Chicken,Chicken,AK,USA,64.07133833,-141.9522792,,America/Anchorage,-8
4A2,Atmautluak,Atmautluak,AK,USA,60.86674556,-162.2731389,,America/Nome,-8
7KA,Tatitlek,Tatitlek,AK,USA,60.86890528,-146.6864653,,America/Anchorage,-8
AHP,Port Alexander SPB,Port Alexander,AK,USA,56.24684222,-134.6481539,,America/Sitka,-8
CXC,Chitina,Chitina,AK,USA,61.58285917,-144.4270969,,America/Anchorage,-8
KTB,Thorne Bay,Thorne Bay,AK,USA,55.68796194,-132.53667579999998,,America/Sitka,-8
PGM,Port Graham,Port Graham,AK,USA,59.34825944,-151.8315389,,America/Anchorage,-8
T44,Trident Basin,Kodiak,AK,USA,57.78083333,-152.3913889,,America/Anchorage,-8
PEC,Pelican SPB,Pelican,AK,USA,57.95517222,-136.2362733,,America/Juneau,-8
RDV,Red Devil,Red Devil,AK,USA,61.78764333,-157.3479344,,America/Anchorage,-8
Z84,Clear,Clear A.F.B.,AK,USA,64.30120361,-149.1201436,,America/Anchorage,-8
2AK,Lime Village,Lime Village,AK,USA,61.35848528,-155.4403508,,America/Anchorage,-8
6A8,Allakaket,Allakaket,AK,USA,66.55194444,-152.62222219999998,,America/Anchorage,-8
C05,Chenega Bay,Chenega,AK,USA,60.07730556,-147.9918889,,America/Anchorage,-8
KCL,Chignik Lagoon,Chignik Flats,AK,USA,56.31116306,-158.5359264,,America/Anchorage,-8
A79,Chignik Lake,Chignik Lake,AK,USA,56.25504722,-158.7753614,,America/Anchorage,-8
OOH,Hoonah SPB,Hoonah,AK,USA,58.11215944,-135.451805,,America/Juneau,-8
6R7,Old Harbor (New),Old Harbor,AK,USA,57.21810306,-153.2697494,,America/Anchorage,-8
IEM,Whittier,Whittier,AK,USA,60.7772125,-148.7215775,,America/Anchorage,-8
8K9,Murphys Pullout SPB,Ketchikan,AK,USA,55.38965028,-131.7380742,,America/Sitka,-8
5CD,Chandalar Shelf,Chandalar Camp,AK,USA,68.06543944,-149.5797392,,America/Anchorage,-8
AK5,Perryville,Perryville,AK,USA,55.90806056,-159.1585781,,America/Anchorage,-8
AQH,Kwinhagak,Quinhagak,AK,USA,59.75700722,-161.8794789,,America/Anchorage,-8
DCK,Dahl Creek,Dahl Creek,AK,USA,66.94333806,-156.9046739,,America/Anchorage,-8
KXA,Kasaan SPB,Kasaan,AK,USA,55.53741389,-132.3975144,,America/Sitka,-8
IYS,Wasilla,Wasilla,AK,USA,61.57196083,-149.54055559999998,,America/Anchorage,-8
KKB,Kitoi Bay SPB,Kitoi Bay,AK,USA,58.19094611,-152.3704875,,America/Anchorage,-8
GNU,Goodnews,Goodnews,AK,USA,59.11727556,-161.5813967,,America/Anchorage,-8
MHM,Minchumina,Minchumina,AK,USA,63.880565000000004,-152.3006756,,America/Anchorage,-8
TKE,Tenakee SPB,Tenakee Springs,AK,USA,57.77965833,-135.2184439,,America/Juneau,-8
BVK,Buckland,Buckland,AK,USA,65.98228611,-161.15197780000003,,America/Anchorage,-8
5A8,Aleknagik,Aleknagik,AK,USA,59.28256167,-158.6176725,,America/Anchorage,-8
PHO,Point Hope,Point Hope,AK,USA,68.34877417,-166.7993086,,America/Nome,-8
RMP,Rampart,Rampart,AK,USA,65.50786222,-150.14280469999997,,America/Anchorage,-8
4Z7,Hyder SPB,Hyder,AK,USA,55.90331972,-130.0067031,,America/Vancouver,-7
EII,Egegik,Egegik,AK,USA,58.18837472,-157.3809872,,America/Anchorage,-8
SXP,Sheldon Point,Sheldon Point,AK,USA,62.52055556,-164.84777780000002,,America/Nome,-8
38A,Shaktoolik,Shaktoolik,AK,USA,64.36263194,-161.20253689999998,,America/Anchorage,-8
DM2,Diomede Heliport,Diomede,AK,USA,65.75861111,-168.9530556,,America/Nome,-8
FLT,Flat,Flat,AK,USA,62.45264889,-157.98907,,America/Anchorage,-8
KAE,Kake SPB,Kake,AK,USA,56.97299639,-133.94561470000002,,America/Sitka,-8
BNF,Baranof Warm Springs SPB,Baranof Warm Springs,AK,USA,57.08882583,-134.83314140000002,,America/Sitka,-8
TLT,Tuluksak,Tuluksak,AK,USA,61.09676222,-160.96841669999998,,America/Anchorage,-8
5S8,St. Michael,St. Michael,AK,USA,63.49005056,-162.11036919999998,,America/Nome,-8
84K,Meyers Chuck SPB,Meyers Chuck,AK,USA,55.73963611,-132.2550183,,America/Sitka,-8
Z09,Kasigluk,Kasigluk,AK,USA,60.87202194,-162.5248094,,America/Nome,-8
Z91,Birch Creek,Birch Creek,AK,USA,66.27399583,-145.8240381,,America/Anchorage,-8
17Z,Manokotak,Manokotak,AK,USA,58.98896583,-159.0499739,,America/Anchorage,-8
6K8,Tok Junction,Tok,AK,USA,63.32881806,-142.9536194,,America/Anchorage,-8
9K2,Kokhanok,Kokhanok,AK,USA,59.43264556,-154.8027058,,America/Anchorage,-8
AQC,Klawock SPB,Klawock,AK,USA,55.5546575,-133.1016928,,America/Sitka,-8
KPH,Pauloff Harbor SPB,Pauloff Harbor,AK,USA,54.45912028,-162.6936406,,America/Nome,-8
2A9,Kotlik,Kotlik,AK,USA,63.03116111,-163.52992780000002,,America/Nome,-8
5NK,Naknek,Naknek,AK,USA,58.73288056,-157.0199197,,America/Anchorage,-8
AQY,Girdwood,Girdwood,AK,USA,60.96609583,-149.12578919999999,,America/Anchorage,-8
ENM,Emmonak,Emmonak,AK,USA,62.78518639,-164.49104609999998,,America/Nome,-8
PBV,St. George,St. George,AK,USA,56.57735278,-169.6637361,,America/Nome,-8
A61,Tuntutuliak,Tuntutuliak,AK,USA,60.33534556,-162.6670094,,America/Nome,-8
A85,Kwigillingok,Kwigillingok,AK,USA,59.87644778,-163.1675583,,America/Nome,-8
SRV,Stony River 2,Stony River,AK,USA,61.789875,-156.5881861,,America/Anchorage,-8
15Z,McCarthy 2,McCarthy,AK,USA,61.43706083,-142.9037372,,America/Anchorage,-8
3Z9,Haines SPB,Haines,AK,USA,59.23495111,-135.4407181,,America/Juneau,-8
KLL,Levelock,Levelock,AK,USA,59.11816472,-156.8652169,,America/Anchorage,-8
KPB,Point Baker SPB,Point Baker,AK,USA,56.35185972,-133.62258640000002,,America/Sitka,-8
KEK,Ekwok,Ekwok,AK,USA,59.35399444,-157.4744092,,America/Anchorage,-8
SKW,Skwentna,Skwentna,AK,USA,61.965295,-151.19136609999998,,America/Anchorage,-8
Z73,Nelson Lagoon,Nelson Lagoon,AK,USA,56.00753611,-161.16036719999997,,America/Anchorage,-8
4KA,Tununak,Tununak,AK,USA,60.57559667,-165.27312719999998,,America/Nome,-8
HWI,Hawk Inlet SPB,Hawk Inlet,AK,USA,58.12744139,-134.7559531,,America/Juneau,-8
K29,Council,Council,AK,USA,64.89788278,-163.70344719999997,,America/Nome,-8
5Z1,Juneau Harbor,Juneau,AK,USA,58.29888889,-134.40777780000002,,America/Juneau,-8
KCC,Coffman Cove SPB,Coffman Cove,AK,USA,56.00324444,-132.8419689,,America/Sitka,-8
HRR,Healy River,Healy,AK,USA,63.86620806,-148.9689842,,America/Anchorage,-8
DUY,Kongiganak,Kongiganak,AK,USA,59.95950583,-162.8817231,,America/Nome,-8
96Z,North Whale SPB,North Whale Pass,AK,USA,56.11631056,-133.1217153,,America/Sitka,-8
CGA,Craig SPB,Craig,AK,USA,55.47883139,-133.14780109999998,,America/Sitka,-8
CZN,Chisana,Chisana,AK,USA,62.07118972,-142.04837419999998,,America/Anchorage,-8
GBH,Galbraith Lake,Galbraith Lake,AK,USA,68.47906306,-149.49002140000002,,America/Anchorage,-8
ORI,Port Lions,Port Lions,AK,USA,57.885377500000004,-152.8461011,,America/Anchorage,-8
19P,Port Protection SPB,Port Protection,AK,USA,56.32880417,-133.6100844,,America/Sitka,-8
2Y3,Yakutat SPB,Yakutat,AK,USA,59.5624775,-139.7410994,,America/Yakutat,-8
5NI,Nikolai,Nikolai,AK,USA,63.017447499999996,-154.3639608,,America/Anchorage,-8
7K2,Skagway SPB,Skagway,AK,USA,59.44689528,-135.32266330000002,,America/Juneau,-8
HAY,Haycock,Haycock,AK,USA,65.20098944,-161.1567792,,America/Anchorage,-8
Z13,Akiachak,Akiachak,AK,USA,60.90453167,-161.42091000000002,,America/Anchorage,-8
Z55,Lake Louise,Lake Louise,AK,USA,62.29368944,-146.5794219,,America/Anchorage,-8
TCT,Takotna,Takotna,AK,USA,62.99270417,-156.06819030000003,,America/Anchorage,-8
TPO,Port Alsworth,Port Alsworth,AK,USA,60.20433333,-154.3188728,,America/Anchorage,-8
A14,Portage Creek,Portage Creek,AK,USA,58.906484999999996,-157.71410780000002,,America/Anchorage,-8
CKU,Cordova Muni,Cordova,AK,USA,60.54390333,-145.7267042,,America/Anchorage,-8
HYL,Hollis SPB,Hollis,AK,USA,55.48158833,-132.6460942,,America/Sitka,-8
4K0,Pedro Bay,Pedro Bay,AK,USA,59.78960972,-154.1238331,,America/Anchorage,-8
CJX,Crooked Creek,Crooked Creek,AK,USA,61.86902194,-158.1371178,,America/Anchorage,-8
16A,Nunapitchuk,Nunapitchuk,AK,USA,60.90582833,-162.4391158,,America/Nome,-8
MDR,Medfra,Medfra,AK,USA,63.10577694,-154.71898059999998,,America/Anchorage,-8
5HO,Hope,Hope,AK,USA,60.90415028,-149.6238389,,America/Anchorage,-8
AWI,Wainwright,Wainwright,AK,USA,70.638,-159.99475,,America/Anchorage,-8
BYA,Boundary,Boundary,AK,USA,64.07830278,-141.113375,,America/Anchorage,-8
N93,New Golovin,Golovin,AK,USA,64.55305556,-163.0088889,,America/Nome,-8
A63,Twin Hills,Twin Hills,AK,USA,59.07562167,-160.2730436,,America/Anchorage,-8
EXI,Excursion Inlet SPB,Excursion Inlet,AK,USA,58.42049861,-135.44903280000003,,America/Juneau,-8
Z17,Ophir,Ophir,AK,USA,63.1460375,-156.529865,,America/Anchorage,-8
2A3,Larsen Bay,Larsen Bay,AK,USA,57.53510667,-153.9784169,,America/Anchorage,-8
4K5,Ouzinkie,Ouzinkie,AK,USA,57.92287611,-152.5005111,,America/Anchorage,-8
9A8,Ugashik,Ugashik,AK,USA,57.527867500000006,-157.3993056,,America/Anchorage,-8
A29,Sitka SPB,Sitka,AK,USA,57.05213778,-135.34620859999998,,America/Sitka,-8
EWU,Newtok,Newtok,AK,USA,60.93865417,-164.64121469999998,,America/Nome,-8
2K5,Telida,Telida,AK,USA,63.39387278,-153.2689733,,America/Anchorage,-8
AFM,Ambler,Ambler,AK,USA,67.10610472,-157.85362030000002,,America/Anchorage,-8
CXF,Coldfoot,Coldfoot,AK,USA,67.25163417,-150.20656719999997,,America/Anchorage,-8
K54,Teller,Teller,AK,USA,65.24089806,-166.33600669999998,,America/Nome,-8
LHD,Lake Hood SPB,Anchorage,AK,USA,61.18000361,-149.9719322,,America/Anchorage,-8
EDN,Enterprise Municipal,Enterprise,AL,USA,31.29972222,-85.89986111,,America/Chicago,-5
PLR,St Clair County,Pell City,AL,USA,33.55883333,-86.24905556,,America/Chicago,-5
M95,Richard Arthur ,Fayette,AL,USA,33.71221972,-87.81504639,,America/Chicago,-5
M82,Madison County Executive ,Huntsville,AL,USA,34.85645028,-86.55621472,,America/Chicago,-5
3A1,Folsom ,Cullman,AL,USA,34.26870833,-86.85833611,,America/Chicago,-5
4R3,Jackson Municipal,Jackson,AL,USA,31.47210861,-87.89472083,,America/Chicago,-5
JKA,Jack Edwards,Gulf Shores,AL,USA,30.28951667,-87.67371472,,America/Chicago,-5
79J,Andalusia,Andalusia,AL,USA,31.30875278,-86.39376083,,America/Chicago,-5
20A,Robbins ,Oneonta,AL,USA,33.97231972,-86.37942722,,America/Chicago,-5
HAB,Marion County,Hamilton,AL,USA,34.11757222,-87.99819583,,America/Chicago,-5
0R1,Atmore Municipal,Atmore,AL,USA,31.01621528,-87.44675972,,America/Chicago,-5
26A,Ashland/Lineville,Ashland/Lineville,AL,USA,33.28761417,-85.80412861,,America/Chicago,-5
EET,Shelby County,Alabaster,AL,USA,33.17781083,-86.78323722,,America/Chicago,-5
11A,Clayton Municipal,Clayton,AL,USA,31.88329917,-85.48491361,,America/Chicago,-5
0J4,Florala Municipal,Florala,AL,USA,31.04247361,-86.31156111,,America/Chicago,-5
7A3,Lanett Municipal,Lanett,AL,USA,32.81204611,-85.22958111,,America/New_York,-4
9A4,Lawrence County ,Courtland,AL,USA,34.65938889,-87.34883333,,America/Chicago,-5
SCD,Merkel Field Sylacauga Municipal ,Sylacauga,AL,USA,33.17183583,-86.30553778,,America/Chicago,-5
0J0,Abbeville Municipal,Abbeville,AL,USA,31.60016778,-85.23882222,,America/Chicago,-5
8A1,Guntersville Municipal,Guntersville,AL,USA,34.39944167,-86.27016111,,America/Chicago,-5
1R8,Bay Minette Municipal,Bay Minette,AL,USA,30.87046278,-87.81738167,,America/Chicago,-5
61A,Camden Municipal,Camden,AL,USA,31.97987056,-87.33888056,,America/Chicago,-5
71J,Blackwell ,Ozark,AL,USA,31.43113889,-85.61922222,,America/Chicago,-5
7A5,Roanoke Municipal,Roanoke,AL,USA,33.12928722,-85.366615,,America/Chicago,-5
14J,Carl Folsom,Elba,AL,USA,31.40988861,-86.08883583,,America/Chicago,-5
M22,Russellville Municipal,Russellville,AL,USA,34.44953972,-87.71030833,,America/Chicago,-5
1A9,Autauga County,Prattville,AL,USA,32.438775,-86.51044778,,America/Chicago,-5
EKY,Bessemer Municipal,Bessemer,AL,USA,33.31288444,-86.92591889,,America/Chicago,-5
GZH,Middleton ,Evergreen,AL,USA,31.41580111,-87.04404333,,America/Chicago,-5
8A0,Albertville Municipal ,Albertville,AL,USA,34.22910972,-86.25575806,,America/Chicago,-5
09A,Butler-Choctaw County,Butler,AL,USA,32.11931306,-88.1274625,,America/Chicago,-5
5M0,Rountree ,Hartselle,AL,USA,34.40823444,-86.93295056,,America/Chicago,-5
7A2,Demopolis Municipal,Demopolis,AL,USA,32.46381944,-87.95406389,,America/Chicago,-5
5R4,Foley Municipal,Foley,AL,USA,30.42769722,-87.70082,,America/Chicago,-5
08A,Wetumpka Municipal,Wetumpka,AL,USA,32.52943944,-86.32822139,,America/Chicago,-5
06A,Moton  Municipal,Tuskegee,AL,USA,32.46047167,-85.68003611,,America/Chicago,-5
2R5,St Elmo,St Elmo,AL,USA,30.50190833,-88.27511667,,America/Chicago,-5
AIV,George Downer ,Aliceville,AL,USA,33.10706889,-88.19725167,,America/Chicago,-5
4R9,Dauphin Island,Dauphin Island,AL,USA,30.26048083,-88.12749972,,America/Chicago,-5
A04,Centre Municipal,Centre,AL,USA,34.15987361,-85.63512944,,America/Chicago,-5
4A9,Isbell ,Fort Payne,AL,USA,34.4728925,-85.72221722,,America/Chicago,-5
JFX,Walker County,Jasper,AL,USA,33.90199528,-87.31416639,,America/Chicago,-5
MVC,Monroe County,Monroeville,AL,USA,31.45805306,-87.35104028,,America/Chicago,-5
33J,Geneva Municipal,Geneva,AL,USA,31.05527778,-85.88033333,,America/Chicago,-5
02A,Gragg-Wade ,Clanton,AL,USA,32.85048667,-86.61145333,,America/Chicago,-5
1M4,Posey ,Haleyville,AL,USA,34.28034806,-87.60044139,,America/Chicago,-5
3M8,North Pickens ,Reform,AL,USA,33.38900611,-88.00557806,,America/Chicago,-5
4A6,Scottsboro Municipal,Scottsboro,AL,USA,34.68897278,-86.0058125,,America/Chicago,-5
4R4,Fairhope Municipal,Fairhope,AL,USA,30.4621125,-87.87801972,,America/Chicago,-5
3A0,Grove Hill Municipal,Grove Hill,AL,USA,31.68932389,-87.7613875,,America/Chicago,-5
0A8,Bibb County,Centreville,AL,USA,32.93679056,-87.08888306,,America/Chicago,-5
12J,Brewton Municipal,Brewton,AL,USA,31.05126306,-87.06796833,,America/Chicago,-5
7A0,Greensboro Municipal,Greensboro,AL,USA,32.68147222,-87.66208333,,America/Chicago,-5
0J6,Headland Municipal,Headland,AL,USA,31.364895,-85.30965556,,America/Chicago,-5
AL08,Vaiden ,Marion,AL,USA,32.51235611,-87.38555472,,America/Chicago,-5
M60,Woodruff County,Augusta,AR,USA,35.27175278,-91.27040417,,America/Chicago,-5
M73,Almyra Municipal,Almyra,AR,USA,34.41232833,-91.46634722,,America/Chicago,-5
AGO,Magnolia Municipal,Magnolia,AR,USA,33.22802111,-93.21696861,,America/Chicago,-5
7M7,Piggott Municipal,Piggott,AR,USA,36.37820556,-90.16624167,,America/Chicago,-5
RUE,Russellville Municipal,Russellville,AR,USA,35.25914667,-93.09326611,,America/Chicago,-5
SLG,Smith ,Siloam Springs,AR,USA,36.19060778,-94.49088306,,America/Chicago,-5
5M4,Fordyce Municipal,Fordyce,AR,USA,33.84593722,-92.36542861,,America/Chicago,-5
7M1,McGehee Municipal,McGehee,AR,USA,33.62022111,-91.36484056,,America/Chicago,-5
4M8,Clarendon Municipal,Clarendon,AR,USA,34.64870694,-91.39457111,,America/Chicago,-5
AWM,West Memphis Municipal,West Memphis,AR,USA,35.13505861,-90.23444639,,America/Chicago,-5
37T,Calico Rock-Izard County,Calico Rock,AR,USA,36.16565278,-92.14523611,,America/Chicago,-5
PGR,Kirk ,Paragould,AR,USA,36.06352944,-90.50986028,,America/Chicago,-5
4M9,Corning Municipal,Corning,AR,USA,36.40423139,-90.64792639,,America/Chicago,-5
HBZ,Heber Springs Municipal,Heber Springs,AR,USA,35.51169389,-92.01300944,,America/Chicago,-5
M70,Pocahontas Municipal,Pocahontas,AR,USA,36.24551111,-90.95520444,,America/Chicago,-5
FCY,Forrest City Municipal,Forrest City,AR,USA,34.94199806,-90.77496611,,America/Chicago,-5
M89,Dexter B. Florence Memorial ,Arkadelphia,AR,USA,34.09984639,-93.06611694,,America/Chicago,-5
BPK,Baxter County Regional,Mountain Home,AR,USA,36.36894194,-92.47052806,,America/Chicago,-5
6M8,Marked Tree Municipal,Marked Tree,AR,USA,35.53341472,-90.40149028,,America/Chicago,-5
ASG,Springdale Municipal,Springdale,AR,USA,36.17641056,-94.11925833,,America/Chicago,-5
M18,Hope Municipal,Hope,AR,USA,33.72008889,-93.65884556,,America/Chicago,-5
M27,Waldron Municipal,Waldron,AR,USA,34.87509944,-94.10993056,,America/Chicago,-5
M77,Howard County,Nashville,AR,USA,33.99673833,-93.83813583,,America/Chicago,-5
7M4,Osceola Municipal,Osceola,AR,USA,35.69114639,-90.01012028,,America/Chicago,-5
7M5,Ozark-Franklin County,Ozark,AR,USA,35.51069583,-93.83930749999999,,America/Chicago,-5
M19,Newport Municipal,Newport,AR,USA,35.63771778,-91.17637556,,America/Chicago,-5
MPJ,Petit Jean Park,Morrilton,AR,USA,35.13886306,-92.90919694,,America/Chicago,-5
3M9,Warren Municipal,Warren,AR,USA,33.56044333,-92.08538861,,America/Chicago,-5
0M0,Dumas Municipal,Dumas,AR,USA,33.8845475,-91.53429111,,America/Chicago,-5
6M2,Horseshoe Bend,Horseshoe Bend,AR,USA,36.21673389,-91.75014556,,America/Chicago,-5
DEQ,J Lynn Helms Sevier County,De Queen,AR,USA,34.04699556,-94.39936556,,America/Chicago,-5
M65,Wynne Municipal,Wynne,AR,USA,35.23160167,-90.76155111,,America/Chicago,-5
LLQ,Monticello Municipal,Monticello,AR,USA,33.6385525,-91.75101833,,America/Chicago,-5
4M3,Carlisle Municipal,Carlisle,AR,USA,34.80823,-91.71205083,,America/Chicago,-5
5M1,De Witt Municipal,De Witt,AR,USA,34.2626,-91.30984194,,America/Chicago,-5
M36,Frank Federer Memorial,Brinkley,AR,USA,34.88000194,-91.1764375,,America/Chicago,-5
SGT,Stuttgart Municipal,Stuttgart,AR,USA,34.60054,-91.57457417,,America/Chicago,-5
ROG,Rogers Municipal-Carter ,Rogers,AR,USA,36.37229667,-94.10686972,,America/Chicago,-5
HEE,Thompson-Robbins,Helena-West Helena,AR,USA,34.57648972,-90.67588639,,America/Chicago,-5
M03,Dennis F Cantrell ,Conway,AR,USA,35.08080778,-92.42496167,,America/Chicago,-5
M32,Lake Village Municipal,Lake Village,AR,USA,33.345977500000004,-91.31569833,,America/Chicago,-5
M78,Malvern Municipal,Malvern,AR,USA,34.33331583,-92.76149944,,America/Chicago,-5
H35,Clarksville Municipal,Clarksville,AR,USA,35.47069417,-93.427155,,America/Chicago,-5
6M7,Lee County-Marianna,Marianna,AR,USA,34.78027778,-90.81055556,,America/Chicago,-5
BVX,Batesville Regional,Batesville,AR,USA,35.726105,-91.64736083,,America/Chicago,-5
4M4,Clinton Municipal,Clinton,AR,USA,35.59785528,-92.45182472,,America/Chicago,-5
SRC,Searcy Municipal,Searcy,AR,USA,35.21194639,-91.737165,,America/Chicago,-5
42A,Melbourne Municipal,Melbourne,AR,USA,36.07079222,-91.82914667,,America/Chicago,-5
9M8,Sheridan-Grant County Regional,Sheridan,AR,USA,34.32842917,-92.35098583,,America/Chicago,-5
MXA,Manila Municipal,Manila,AR,USA,35.89444444,-90.15456944,,America/Chicago,-5
ARG,Walnut Ridge Regional,Walnut Ridge,AR,USA,36.12534667,-90.92461944,,America/Chicago,-5
4M1,Carroll County,Berryville,AR,USA,36.38340333,-93.61685667,,America/Chicago,-5
M99,Saline County/Watts ,Benton,AR,USA,34.55656472,-92.60693972,,America/Chicago,-5
VBT,Bentonville Municipal,Bentonville,AR,USA,36.34571528,-94.21934499999999,,America/Chicago,-5
CVK,Sharp County Regional,Ash Flat,AR,USA,36.26487139,-91.56264111,,America/Chicago,-5
1M1,North Little Rock Municipal,No Lit Rock,AR,USA,34.83398056,-92.25792778,,America/Chicago,-5
7M3,Bearce,Mount Ida,AR,USA,34.52926056,-93.52713472,,America/Chicago,-5
HKA,Blytheville Municipal,Blytheville,AR,USA,35.94040667,-89.83080583,,America/Chicago,-5
M39,Mena Intermountain Municipal,Mena,AR,USA,34.54539444,-94.20265278,,America/Chicago,-5
4A5,Marshall-Searcy County,Marshall,AR,USA,35.89893667,-92.65588611,,America/Chicago,-5
CDH,Harrell ,Camden,AR,USA,33.62279917,-92.76339528,,America/Chicago,-5
CRT,Crossett Municipal,Crossett,AR,USA,33.17833278,-91.88018806,,America/Chicago,-5
Z08,Ofu,Ofu Village,AS,USA,14.18435056,-169.6700236,,,0
FAQ,Fitiuta,Fitiuta Village,AS,USA,14.21577583,-169.42390580000003,,,0
CFT,Greenlee County,Clifton-Morenci,AZ,USA,32.95284306,-109.2103453,,America/Phoenix,-7
P08,Coolidge Municipal,Coolidge,AZ,USA,32.93594444,-111.42652779999999,,America/Phoenix,-7
P33,Cochise County,Willcox,AZ,USA,32.24540278,-109.89463190000001,,America/Phoenix,-7
