flight_date,airline,tailnumber,flight_number,src,dest,departure_time,arrival_time,flight_time,distance
2019-11-28,9E,N914XJ,3424,ATL,SHV,1522,1621,119.0,551.0
2019-11-28,9E,N326PQ,3425,LGA,GSO,930,1130,120.0,461.0
2019-11-28,9E,N341PQ,3429,ATL,AVL,1734,1836,62.0,164.0
2019-11-28,9E,N8694A,3431,JFK,PWM,930,1046,76.0,273.0
2019-11-28,9E,N925XJ,3436,JFK,RIC,2010,2204,114.0,288.0
2019-11-28,9E,N303PQ,3438,RDU,JAX,1035,1209,94.0,407.0
2019-11-28,9E,N331CA,3440,LGA,ROC,1337,1457,80.0,254.0
2019-11-28,9E,N133EV,3442,GSO,DTW,600,743,103.0,460.0
2019-11-28,9E,N314PQ,3444,GRB,MSP,630,752,82.0,252.0
2019-11-28,9E,N981EV,3445,LAN,MSP,710,759,109.0,455.0
2019-11-28,9E,N931XJ,3447,LEX,DTW,616,741,85.0,296.0
2019-11-28,9E,N313PQ,3448,IND,JFK,1345,1554,129.0,665.0
2019-11-28,9E,N135EV,3450,DTW,PIT,903,1014,71.0,201.0
2019-11-28,9E,N921XJ,3452,ROC,JFK,550,714,84.0,264.0
2019-11-28,9E,N309PQ,3453,ATL,BTR,1510,1555,105.0,448.0
2019-11-28,9E,N308PQ,3454,MLI,ATL,555,859,124.0,633.0
2019-11-28,9E,N176PQ,3460,JFK,IAD,1110,1229,79.0,228.0
2019-11-28,9E,N176PQ,3466,JFK,BTV,1925,2053,88.0,266.0
2019-11-28,9E,N835AY,3468,CSG,ATL,1605,1704,59.0,83.0
2019-11-28,9E,N279PQ,3469,TYS,MSP,639,813,154.0,792.0
2019-11-28,9E,N8839E,3470,JFK,ROC,815,948,93.0,264.0
2019-11-28,9E,N8839E,3470,ROC,JFK,1035,1158,83.0,264.0
2019-11-28,9E,N903XJ,3479,JFK,CVG,1855,2113,138.0,589.0
2019-11-28,9E,N320PQ,3483,LGA,RIC,1200,1335,95.0,292.0
2019-11-28,9E,N147PQ,3486,RDU,JFK,1700,1852,112.0,427.0
2019-11-28,9E,N935XJ,3487,DSM,DTW,1206,1455,109.0,534.0
2019-11-28,9E,N676CA,3488,DSM,MSP,805,925,80.0,232.0
2019-11-28,9E,N600LR,3489,BTV,DTW,545,750,125.0,537.0
2019-11-28,9E,N8936A,3491,CWA,MSP,635,747,72.0,175.0
2019-11-28,9E,N695CA,3492,LGA,RDU,930,1127,117.0,431.0
2019-11-28,9E,N331PQ,3494,RIC,LGA,600,725,85.0,292.0
2019-11-28,9E,N8980A,3496,DTW,CWA,1255,1320,85.0,363.0
2019-11-28,9E,N909XJ,4882,DTW,CLE,1225,1316,51.0,95.0
2019-11-28,9E,N678CA,4920,ORF,JFK,735,900,85.0,290.0
2019-11-28,9E,N605LR,5001,ATL,OAJ,1210,1331,81.0,399.0
2019-11-28,9E,N605LR,5001,OAJ,ATL,1445,1630,105.0,399.0
2019-11-28,9E,N295PQ,5002,ATL,PHF,1005,1144,99.0,508.0
2019-11-28,9E,N925XJ,5003,LGA,CLE,1159,1352,113.0,419.0
2019-11-28,9E,N607LR,5006,HPN,ATL,600,825,145.0,780.0
2019-11-28,9E,N316PQ,5008,LGA,CVG,1100,1325,145.0,585.0
2019-11-28,9E,N306PQ,5015,ATL,TYS,855,950,55.0,152.0
2019-11-28,9E,N306PQ,5015,TYS,ATL,1100,1201,61.0,152.0
2019-11-28,9E,N801AY,5016,AEX,ATL,600,842,102.0,500.0
2019-11-28,9E,N331PQ,5018,LGA,PIT,940,1125,105.0,335.0
2019-11-28,9E,N331PQ,5018,PIT,LGA,1205,1334,89.0,335.0
2019-11-28,9E,N921XJ,5019,BUF,LGA,1010,1137,87.0,292.0
2019-11-28,9E,N924XJ,5027,CVG,DTW,605,719,74.0,229.0
2019-11-28,9E,N309PQ,5029,ATL,GPT,855,919,84.0,352.0
2019-11-28,9E,N8896A,5033,RDU,PHL,915,1045,90.0,337.0
2019-11-28,9E,N336PQ,5040,ORF,LGA,910,1039,89.0,296.0
2019-11-28,9E,N292PQ,5041,LGA,CLT,1125,1341,136.0,544.0
2019-11-28,9E,N176PQ,5042,IAD,JFK,1530,1658,88.0,228.0
2019-11-28,9E,N929XJ,5053,XNA,ATL,1130,1413,103.0,589.0
2019-11-28,9E,N153PQ,5054,SAV,DTW,900,1108,128.0,705.0
2019-11-28,9E,N186PQ,5058,LGA,BUF,720,848,88.0,292.0
2019-11-28,9E,N8837B,5059,BTV,JFK,600,740,100.0,266.0
2019-11-28,9E,N232PQ,5064,ATL,FNT,1514,1719,125.0,645.0
2019-11-28,9E,N901XJ,5066,LGA,PIT,1138,1320,102.0,335.0
2019-11-28,9E,N691CA,5069,RSW,LGA,815,1104,169.0,1080.0
2019-11-28,9E,N186PQ,5083,BUF,JFK,930,1053,83.0,301.0
2019-11-28,9E,N146PQ,5086,ATL,BTR,810,852,102.0,448.0
2019-11-28,9E,N146PQ,5086,BTR,ATL,928,1159,91.0,448.0
2019-11-28,9E,N931XJ,5088,CLE,BDL,1015,1141,86.0,476.0
2019-11-28,9E,N307PQ,5094,MSP,IAH,708,1016,188.0,1034.0
2019-11-28,9E,N307PQ,5094,IAH,MSP,1055,1343,168.0,1034.0
2019-11-28,9E,N912XJ,5098,BDL,CLE,700,853,113.0,476.0
2019-11-28,9E,N601LR,5103,LGA,BTV,1125,1249,84.0,258.0
2019-11-28,9E,N801AY,5104,ATL,GNV,956,1116,80.0,300.0
2019-11-28,9E,N801AY,5104,GNV,ATL,1245,1408,83.0,300.0
2019-11-28,9E,N314PQ,5110,MSP,CLE,845,1147,122.0,622.0
2019-11-28,9E,N8936A,5113,MSP,LAN,1245,1518,93.0,455.0
2019-11-28,9E,N836AY,5115,IAD,JFK,800,915,75.0,228.0
2019-11-28,9E,N8839E,5120,JFK,BTV,1235,1353,78.0,266.0
2019-11-28,9E,N8839E,5120,BTV,JFK,1429,1612,103.0,266.0
2019-11-28,9E,N600LR,5122,DTW,CVG,840,954,74.0,229.0
2019-11-28,9E,N910XJ,5129,DTW,JFK,1219,1401,102.0,509.0
2019-11-28,9E,N197PQ,5130,BMI,ATL,600,854,114.0,533.0
2019-11-28,9E,N348PQ,5131,ATL,AGS,1130,1225,55.0,143.0
2019-11-28,9E,N348PQ,5131,AGS,ATL,1300,1410,70.0,143.0
2019-11-28,9E,N309PQ,5137,GPT,ATL,1140,1400,80.0,352.0
2019-11-28,9E,N835AY,5138,GNV,ATL,725,852,87.0,300.0
2019-11-28,9E,N676CA,5140,DTW,DSM,1550,1648,118.0,534.0
2019-11-28,9E,N905XJ,5145,MSP,GRB,855,1012,77.0,252.0
2019-11-28,9E,N905XJ,5145,GRB,MSP,1050,1205,75.0,252.0
2019-11-28,9E,N695CA,5146,RDU,LGA,705,850,105.0,431.0
2019-11-28,9E,N313PQ,5149,JFK,CLE,1930,2131,121.0,425.0
2019-11-28,9E,N904XJ,5151,ATL,XNA,822,923,121.0,589.0
2019-11-28,9E,N916XJ,5153,JAX,LGA,639,858,139.0,833.0
2019-11-28,9E,N316PQ,5157,STL,LGA,600,928,148.0,888.0
2019-11-28,9E,N232PQ,5166,ATL,CAK,957,1137,100.0,528.0
2019-11-28,9E,N232PQ,5166,CAK,ATL,1214,1419,125.0,528.0
2019-11-28,9E,N919XJ,5167,LGA,BUF,1255,1422,87.0,292.0
2019-11-28,9E,N138EV,5172,ATL,ABE,1027,1227,120.0,692.0
2019-11-28,9E,N607LR,5176,ATL,FNT,918,1113,115.0,645.0
2019-11-28,9E,N607LR,5176,FNT,ATL,1150,1418,148.0,645.0
2019-11-28,9E,N138EV,5180,LNK,ATL,600,925,145.0,841.0
2019-11-28,9E,N272PQ,5184,JFK,IND,1545,1811,146.0,665.0
2019-11-28,9E,N308PQ,5194,ATL,HPN,946,1209,143.0,780.0
2019-11-28,9E,N308PQ,5194,HPN,ATL,1246,1511,145.0,780.0
2019-11-28,9E,N146PQ,5198,ATL,TLH,1413,1521,68.0,223.0
2019-11-28,9E,N146PQ,5198,TLH,ATL,1557,1710,73.0,223.0
2019-11-28,9E,N919XJ,5205,BTV,LGA,540,705,85.0,258.0
2019-11-28,9E,N176PQ,5208,JAX,JFK,800,1022,142.0,828.0
2019-11-28,9E,N605LR,5210,ATL,GNV,815,928,73.0,300.0
2019-11-28,9E,N605LR,5210,GNV,ATL,1003,1122,79.0,300.0
2019-11-28,9E,N981EV,5211,MSP,CWA,1019,1115,56.0,175.0
2019-11-28,9E,N929XJ,5215,MSP,XNA,855,1055,120.0,596.0
2019-11-28,9E,N918XJ,5230,ATL,BMI,1205,1249,104.0,533.0
2019-11-28,9E,N335PQ,5239,TYS,ATL,625,726,61.0,152.0
2019-11-28,9E,N8969A,5242,ATL,CHO,919,1054,95.0,457.0
2019-11-28,9E,N8969A,5242,CHO,ATL,1216,1403,107.0,457.0
2019-11-28,9E,N368CA,5244,EYW,ATL,718,928,130.0,646.0
2019-11-28,9E,N8976E,5245,ATL,CHO,1323,1456,93.0,457.0
2019-11-28,9E,N137EV,5254,MSP,EWR,700,1053,173.0,1008.0
2019-11-28,9E,N137EV,5254,EWR,MSP,1132,1341,189.0,1008.0
2019-11-28,9E,N934XJ,5256,BTR,ATL,710,944,94.0,448.0
2019-11-28,9E,N819AY,5258,MDT,DTW,1300,1438,98.0,371.0
2019-11-28,9E,N294PQ,5259,CLE,MSP,915,1025,130.0,622.0
2019-11-28,9E,N8836A,5260,ATL,ROA,820,946,86.0,357.0
2019-11-28,9E,N8836A,5260,ROA,ATL,1013,1141,88.0,357.0
2019-11-28,9E,N304PQ,5264,RDU,JFK,715,858,103.0,427.0
2019-11-28,9E,N303PQ,5266,JFK,RDU,805,953,108.0,427.0
2019-11-28,9E,N8980A,5268,EVV,DTW,900,1127,87.0,363.0
2019-11-28,9E,N8946A,5276,LGA,SYR,916,1038,82.0,198.0
2019-11-28,9E,N8946A,5276,SYR,LGA,1110,1225,75.0,198.0
2019-11-28,9E,N348PQ,5278,RST,ATL,600,926,146.0,831.0
2019-11-28,9E,N296PQ,5281,RDU,BOS,850,1049,119.0,612.0
2019-11-28,9E,N676CA,5283,MSP,PIT,1007,1313,126.0,726.0
2019-11-28,9E,N331CA,5287,LGA,PIT,700,835,95.0,335.0
2019-11-28,9E,N331CA,5287,PIT,LGA,913,1055,102.0,335.0
2019-11-28,9E,N936XJ,5288,GRB,ATL,600,922,142.0,774.0
2019-11-28,9E,N306PQ,5289,PHF,ATL,600,754,114.0,508.0
2019-11-28,9E,N678CA,5290,JFK,DCA,1530,1707,97.0,213.0
2019-11-28,9E,N678CA,5290,DCA,JFK,1745,1929,104.0,213.0
2019-11-28,9E,N927EV,5292,CWA,DTW,830,1055,85.0,363.0
2019-11-28,9E,N936XJ,5293,ATL,TYS,2109,2204,55.0,152.0
2019-11-28,9E,N186PQ,5294,JFK,RDU,1307,1457,110.0,427.0
2019-11-28,9E,N279PQ,5298,DTW,GSO,1557,1741,104.0,460.0
2019-11-28,9E,N301PQ,5300,DSM,DTW,830,1120,110.0,534.0
2019-11-28,9E,N906XJ,5301,TYS,ATL,900,1009,69.0,152.0
2019-11-28,9E,N305PQ,5303,LGA,MEM,925,1135,190.0,963.0
2019-11-28,9E,N918XJ,5305,ATL,TLH,815,918,63.0,223.0
2019-11-28,9E,N918XJ,5305,TLH,ATL,955,1111,76.0,223.0
2019-11-28,9E,N605LR,5309,ATL,AGS,1745,1849,64.0,143.0
2019-11-28,9E,N936XJ,5310,ATL,TYS,1100,1159,59.0,152.0
2019-11-28,9E,N936XJ,5310,TYS,ATL,1300,1402,62.0,152.0
2019-11-28,9E,N678CA,5311,JFK,BOS,1029,1143,74.0,187.0
2019-11-28,9E,N924XJ,5321,DTW,DSM,835,930,115.0,534.0
2019-11-28,9E,N927XJ,5324,ATL,MLI,953,1053,120.0,633.0
2019-11-28,9E,N367CA,5327,MBS,DTW,647,744,57.0,98.0
2019-11-28,9E,N8986B,5330,ATL,AEX,944,1034,110.0,500.0
2019-11-28,9E,N310PQ,5336,BTR,ATL,600,834,94.0,448.0
2019-11-28,9E,N8970D,5339,CSG,ATL,615,712,57.0,83.0
2019-11-28,9E,N8908D,5341,ATL,OAJ,1524,1651,87.0,399.0
2019-11-28,9E,N8783E,5342,ATL,AVL,1052,1147,55.0,164.0
2019-11-28,9E,N8783E,5342,AVL,ATL,1214,1319,65.0,164.0
2019-11-28,9E,N309PQ,5344,AVL,ATL,605,714,69.0,164.0
2019-11-28,9E,N137EV,5347,MSP,DSM,1431,1549,78.0,232.0
2019-11-28,9E,N934XJ,5349,ATL,BTR,1102,1142,100.0,448.0
2019-11-28,9E,N8783E,5355,ATL,AGS,1400,1454,54.0,143.0
2019-11-28,9E,N8783E,5355,AGS,ATL,1525,1627,62.0,143.0
2019-11-28,9E,N910XJ,5358,JFK,DTW,929,1134,125.0,509.0
2019-11-28,9E,N8970D,5359,ATL,AGS,902,958,56.0,143.0
2019-11-28,9E,N8970D,5359,AGS,ATL,1025,1126,61.0,143.0
2019-11-28,9E,N925XJ,5361,CHO,LGA,900,1019,79.0,305.0
2019-11-28,9E,N146PQ,5365,ATL,BTR,1800,1846,106.0,448.0
2019-11-28,9E,N147PQ,5368,BOS,RDU,1120,1334,134.0,612.0
2019-11-28,9E,N929XJ,5370,DSM,MSP,650,811,81.0,232.0
2019-11-28,9E,N296PQ,5375,BOS,CVG,1140,1404,144.0,752.0
2019-11-28,9E,N835AY,5376,ATL,CSG,1025,1109,44.0,83.0
2019-11-28,9E,N835AY,5376,CSG,ATL,1137,1228,51.0,83.0
2019-11-28,9E,N335PQ,5378,ATL,LEX,816,930,74.0,304.0
2019-11-28,9E,N601LR,5379,MEM,LGA,700,1041,161.0,963.0
2019-11-28,9E,N538CA,5382,ATL,SGF,1000,1055,115.0,563.0
2019-11-28,9E,N319PQ,5387,LGA,RDU,630,818,108.0,431.0
2019-11-28,9E,N905XJ,5389,XNA,MSP,600,756,116.0,596.0
2019-11-28,9E,N905XJ,5396,MSP,RIC,1245,1627,162.0,970.0
2019-11-28,9E,N980EV,5398,ATL,EVV,900,924,84.0,350.0
2019-11-28,9E,N980EV,5398,EVV,ATL,1045,1303,78.0,350.0
2019-11-28,9E,N935XJ,5403,RIC,MSP,610,815,185.0,970.0
2019-11-28,9E,N8986B,5405,CHO,ATL,600,745,105.0,457.0
2019-11-28,9E,N835AY,5410,ATL,EWN,1745,1915,90.0,433.0
2019-11-28,9E,N925XJ,5415,CLE,JFK,1451,1638,107.0,425.0
2019-11-28,9E,N390CA,5416,ATL,AVL,826,930,64.0,164.0
2019-11-28,9E,N390CA,5416,AVL,ATL,1011,1119,68.0,164.0
2019-11-28,9E,N279PQ,5417,CVG,DTW,1353,1508,75.0,229.0
2019-11-28,9E,N131EV,5425,CLT,LGA,1205,1405,120.0,544.0
2019-11-28,9E,N8836A,5427,ATL,EVV,1254,1315,81.0,350.0
2019-11-28,9E,N921XJ,5431,JFK,BUF,759,929,90.0,301.0
2019-11-28,9E,N907XJ,5435,ATL,HPN,734,947,133.0,780.0
2019-11-28,9E,N320PQ,5436,CLT,LGA,915,1117,122.0,544.0
2019-11-28,9E,N8970D,5437,ATL,EWN,1208,1330,82.0,433.0
2019-11-28,9E,N8970D,5437,EWN,ATL,1445,1628,103.0,433.0
2019-11-28,9E,N8946A,5441,PWM,LGA,700,836,96.0,269.0
2019-11-28,9E,N836AY,5443,BWI,JFK,1253,1412,79.0,184.0
2019-11-28,9E,N935XJ,5447,MSP,DSM,908,1026,78.0,232.0
2019-11-28,9E,N315PQ,5451,JFK,ORF,1950,2132,102.0,290.0
2019-11-28,9E,N929XJ,5452,ATL,ATW,1504,1618,134.0,765.0
2019-11-28,9E,N800AY,5475,LGA,BGR,1305,1434,89.0,378.0
2019-11-28,9E,N232PQ,5480,SHV,ATL,600,847,107.0,551.0
2019-11-28,9E,N678CA,5482,BOS,JFK,1230,1349,79.0,187.0
2019-11-28,9E,N914XJ,5491,LEX,ATL,600,730,90.0,304.0
2019-11-28,9E,N302PQ,5496,CLT,LGA,710,913,123.0,544.0
2019-11-28,9E,N320PQ,5504,LGA,CLT,630,840,130.0,544.0
2019-11-28,9E,N836AY,5510,JFK,PWM,1925,2052,87.0,273.0
2019-11-28,9E,N300PQ,5543,MSP,MSN,1010,1120,70.0,228.0
2019-11-28,9E,N300PQ,5543,MSN,MSP,1157,1307,70.0,228.0
2019-11-28,AA,N557UW,10,PHX,ORD,135,559,204.0,1440.0
2019-11-28,AA,N909NN,1002,ORD,DCA,920,1210,110.0,612.0
2019-11-28,AA,N346PR,1003,STL,ORD,733,859,86.0,258.0
2019-11-28,AA,N817AN,1004,SFO,DFW,35,556,201.0,1464.0
2019-11-28,AA,N981UY,1005,CLT,PBI,1459,1656,117.0,590.0
2019-11-28,AA,N955NN,1006,DFW,SLC,1145,1337,172.0,989.0
2019-11-28,AA,N969NN,1009,DFW,BNA,1240,1426,106.0,631.0
2019-11-28,AA,N895NN,1018,DFW,IND,1230,1534,124.0,761.0
2019-11-28,AA,N896NN,1019,SJC,DFW,610,1141,211.0,1438.0
2019-11-28,AA,N754AN,102,HNL,DFW,2030,749,439.0,3784.0
2019-11-28,AA,N9013A,1023,MIA,DTW,2151,58,187.0,1145.0
2019-11-28,AA,N145AN,1024,MCO,DFW,754,955,181.0,985.0
2019-11-28,AA,N951NN,1025,ORD,PBI,825,1226,181.0,1143.0
2019-11-28,AA,N817AN,1027,DFW,ORD,1325,1544,139.0,801.0
2019-11-28,AA,N122NN,1029,ORD,LAX,950,1227,277.0,1744.0
2019-11-28,AA,N904NN,103,DFW,BWI,703,1053,170.0,1217.0
2019-11-28,AA,N867NN,1031,PHX,JFK,1342,2030,288.0,2153.0
2019-11-28,AA,N156AN,1033,DCA,ORD,1059,1219,140.0,612.0
2019-11-28,AA,N9026C,1038,ICT,DFW,811,940,89.0,328.0
2019-11-28,AA,N974AN,1039,DCA,CLT,900,1051,111.0,331.0
2019-11-28,AA,N803NN,1040,MSP,PHX,700,958,238.0,1276.0
2019-11-28,AA,N959AN,1043,LAS,DFW,505,948,163.0,1055.0
2019-11-28,AA,N991NN,1045,ORD,SEA,1005,1249,284.0,1721.0
2019-11-28,AA,N879NN,1046,ORD,MSP,1000,1133,93.0,334.0
2019-11-28,AA,N8027D,1047,DFW,VPS,1046,1242,116.0,641.0
2019-11-28,AA,N841NN,1048,DCA,MIA,1200,1451,171.0,919.0
2019-11-28,AA,N988NN,1049,EWR,ORD,859,1055,176.0,719.0
2019-11-28,AA,N939NN,1050,DFW,RNO,956,1135,219.0,1345.0
2019-11-28,AA,N992NN,1051,ORD,SNA,1015,1247,272.0,1726.0
2019-11-28,AA,N978UY,1052,PHX,ORD,40,507,207.0,1440.0
2019-11-28,AA,N886NN,1053,DFW,MCI,1025,1158,93.0,460.0
2019-11-28,AA,N159AN,1056,DFW,LGA,909,1335,206.0,1389.0
2019-11-28,AA,N402AN,1058,LAX,DFW,700,1203,183.0,1235.0
2019-11-28,AA,N133AN,1059,SFO,LAX,1048,1227,99.0,337.0
2019-11-28,AA,N818NN,1060,EWR,MIA,1050,1410,200.0,1085.0
2019-11-28,AA,N126AN,1061,MIA,LAX,2130,21,351.0,2342.0
2019-11-28,AA,N995AN,1063,BNA,LAX,620,915,295.0,1797.0
2019-11-28,AA,N138AN,1064,DFW,SAN,857,1013,196.0,1171.0
2019-11-28,AA,N138AN,1067,DEN,DFW,500,806,126.0,641.0
2019-11-28,AA,N933NN,1069,CLT,PBI,1125,1322,117.0,590.0
2019-11-28,AA,N157UW,1072,CLT,TPA,1430,1614,104.0,507.0
2019-11-28,AA,N808NN,1074,MIA,BOS,1814,2129,195.0,1258.0
2019-11-28,AA,N881NN,1075,DFW,JAX,1020,1332,132.0,918.0
2019-11-28,AA,N120EE,1077,MIA,LAX,932,1219,347.0,2342.0
2019-11-28,AA,N877NN,1078,RDU,PHL,909,1034,85.0,337.0
2019-11-28,AA,N306PB,1081,DCA,LAS,830,1100,330.0,2089.0
2019-11-28,AA,N534UW,1085,DFW,LAX,1053,1225,212.0,1235.0
2019-11-28,AA,N963AN,1086,DFW,ONT,1231,1346,195.0,1188.0
2019-11-28,AA,N167US,1088,CLT,MIA,1820,2035,135.0,650.0
2019-11-28,AA,N910AN,1090,TUL,DFW,641,801,80.0,237.0
